iter	Passed	Remaining
267	620	1695
268	622	1692
269	624	1689
270	626	1685
271	628	1683
272	630	1679
273	632	1676
274	634	1673
275	636	1669
276	638	1666
277	640	1663
278	642	1660
279	644	1657
280	646	1653
281	648	1650
282	650	1647
283	652	1644
284	654	1641
285	656	1637
286	658	1634
287	660	1631
288	662	1628
289	664	1625
290	666	1622
291	667	1619
292	670	1617
293	672	1614
294	674	1610
295	675	1607
296	677	1604
297	679	1601
298	682	1599
299	684	1597
300	686	1594
301	688	1591
302	690	1588
303	692	1585
304	694	1582
305	696	1579
306	698	1576
307	700	1573
308	702	1571
309	704	1568
310	706	1565
311	708	1563
312	710	1560
313	712	1557
314	714	1554
315	716	1551
316	718	1549
317	720	1546
318	722	1543
319	724	1540
320	726	1537
321	728	1534
322	730	1532
323	733	1529
324	735	1526
325	737	1523
326	739	1521
327	741	1518
328	743	1515
329	745	1513
330	747	1511
331	749	1508
332	751	1505
333	753	1502
334	755	1500
335	757	1497
336	759	1495
337	762	1492
338	764	1489
339	766	1486
340	768	1484
341	769	1481
342	771	1478
343	774	1476
344	775	1473
345	777	1470
346	780	1468
347	782	1465
348	783	1462
349	785	1459
350	788	1457
351	790	1454
352	791	1451
353	793	1448
354	795	1445
355	797	1443
356	799	1440
357	801	1437
358	803	1434
359	805	1432
360	807	1429
361	809	1426
362	811	1424
363	813	1421
364	815	1418
365	817	1416
366	819	1413
367	821	1411
368	823	1408
369	825	1405
370	827	1403
371	829	1400
372	831	1397
373	833	1395
374	835	1392
375	837	1390
376	839	1387
377	841	1384
378	843	1381
379	845	1379
380	847	1376
381	849	1374
382	851	1372
383	853	1369
384	856	1367
385	857	1364
386	859	1361
387	861	1359
388	863	1356
389	865	1354
390	867	1351
391	869	1348
392	871	1346
393	873	1343
394	875	1341
395	877	1338
396	879	1335
397	881	1333
398	883	1330
399	885	1328
400	887	1325
401	889	1323
402	891	1320
403	893	1318
404	895	1315
405	897	1312
406	899	1310
407	901	1307
408	903	1304
409	905	1302
410	907	1299
411	908	1297
412	910	1294
413	912	1292
414	914	1289
415	916	1286
416	918	1284
417	920	1281
418	922	1279
419	924	1276
420	926	1274
421	928	1271
422	930	1269
423	932	1266
424	934	1264
425	936	1261
426	938	1259
427	940	1257
428	942	1254
429	944	1252
430	946	1249
431	948	1247
432	950	1244
433	952	1242
434	954	1239
435	956	1237
436	959	1235
437	961	1233
438	963	1230
439	965	1228
440	966	1225
441	968	1223
442	970	1220
443	972	1218
444	974	1215
445	976	1213
446	978	1210
447	980	1208
448	982	1205
449	984	1203
450	986	1200
451	988	1198
452	990	1195
453	992	1193
454	994	1190
455	996	1188
456	998	1185
457	999	1183
458	1001	1180
459	1003	1178
460	1005	1175
461	1007	1173
462	1009	1171
463	1011	1168
464	1013	1166
465	1015	1163
466	1017	1161
467	1019	1158
468	1021	1156
469	1023	1154
470	1025	1151
471	1027	1149
472	1029	1147
473	1031	1144
474	1033	1142
475	1035	1139
476	1037	1137
477	1040	1135
478	1041	1133
479	1044	1131
480	1046	1128
481	1047	1126
482	1049	1123
483	1051	1121
484	1053	1118
485	1055	1116
486	1057	1114
487	1059	1111
488	1061	1109
489	1063	1107
490	1066	1105
491	1068	1102
492	1069	1100
493	1071	1097
494	1073	1095
495	1075	1093
496	1077	1090
497	1079	1088
498	1081	1085
499	1083	1083
500	1085	1080
501	1087	1078
502	1089	1076
503	1091	1073
504	1093	1071
505	1095	1069
506	1097	1066
507	1099	1064
508	1101	1062
509	1102	1059
510	1104	1057
511	1106	1054
512	1108	1052
513	1110	1050
514	1112	1048
515	1114	1045
516	1116	1043
517	1118	1040
518	1120	1038
519	1122	1036
520	1124	1034
521	1126	1031
522	1128	1029
523	1130	1027
524	1133	1025
525	1134	1022
526	1136	1020
527	1138	1018
528	1140	1015
529	1142	1013
530	1144	1011
531	1146	1008
532	1148	1006
533	1150	1004
534	1152	1001
535	1154	999
536	1156	997
537	1158	994
538	1160	992
539	1162	990
540	1164	988
541	1166	985
542	1168	983
543	1170	981
544	1172	978
545	1174	976
546	1176	974
547	1178	971
548	1179	969
549	1181	966
550	1184	964
551	1186	962
552	1188	960
553	1190	958
554	1191	955
555	1193	953
556	1195	951
557	1197	948
558	1199	946
559	1201	944
560	1203	941
561	1205	939
562	1207	937
563	1210	935
564	1212	933
565	1214	931
566	1216	928
567	1218	926
568	1220	924
569	1222	922
570	1224	919
571	1226	917
572	1228	915
573	1230	912
574	1231	910
575	1233	908
576	1235	906
577	1237	903
578	1240	901
579	1242	899
580	1244	897
581	1246	895
582	1248	892
583	1250	890
584	1251	888
585	1254	886
586	1256	883
587	1258	881
588	1260	879
589	1261	876
590	1263	874
591	1265	872
592	1268	870
593	1270	868
594	1272	865
595	1274	863
596	1276	861
597	1278	859
598	1279	856
599	1281	854
600	1284	852
601	1286	850
602	1288	848
603	1290	846
604	1292	843
605	1294	841
606	1296	839
607	1298	837
608	1300	834
609	1302	832
610	1304	830
611	1306	828
612	1308	826
613	1310	823
614	1312	821
615	1314	819
616	1316	817
617	1318	814
618	1320	812
619	1322	810
620	1324	808
621	1326	805
622	1328	803
623	1331	802
624	1333	799
625	1335	797
626	1337	795
627	1339	793
628	1341	791
629	1343	789
630	1345	786
631	1347	784
632	1349	782
633	1351	780
634	1353	778
635	1355	775
636	1357	773
637	1359	771
638	1361	769
639	1363	767
640	1365	764
641	1367	762
642	1369	760
643	1371	758
644	1373	755
645	1375	753
646	1377	751
647	1379	749
648	1381	747
649	1383	744
650	1385	742
651	1387	740
652	1389	738
653	1391	735
654	1392	733
655	1394	731
656	1396	729
657	1398	726
658	1400	724
659	1402	722
660	1404	720
661	1406	718
662	1408	716
663	1410	713
664	1412	711
665	1414	709
666	1416	707
667	1418	705
668	1420	702
669	1422	700
670	1424	698
671	1426	696
672	1428	694
673	1430	691
674	1432	689
675	1434	687
676	1436	685
677	1438	682
678	1440	680
679	1442	678
680	1444	676
681	1446	674
682	1448	672
683	1449	669
684	1452	667
685	1453	665
686	1455	663
687	1458	661
688	1460	659
689	1462	657
690	1464	655
691	1467	652
692	1469	650
693	1470	648
694	1472	646
695	1474	644
696	1476	642
697	1478	639
698	1480	637
699	1482	635
700	1484	633
701	1486	631
702	1488	629
703	1490	626
704	1492	624
705	1494	622
706	1496	620
707	1498	617
708	1500	615
709	1502	613
710	1504	611
711	1506	609
712	1508	607
713	1510	604
714	1512	602
715	1514	600
716	1516	598
717	1518	596
718	1520	594
719	1522	591
720	1524	589
721	1526	587
722	1528	585
723	1530	583
724	1532	581
725	1534	579
726	1536	576
727	1538	574
728	1540	572
729	1542	570
730	1544	568
731	1546	566
732	1548	564
733	1550	561
734	1552	559
735	1554	557
736	1556	555
737	1558	553
738	1560	551
739	1562	548
740	1564	546
741	1566	544
742	1568	542
743	1570	540
744	1572	538
745	1574	535
746	1576	533
747	1578	531
748	1580	529
749	1582	527
750	1584	525
751	1586	523
752	1588	520
753	1590	518
754	1591	516
755	1594	514
756	1596	512
757	1598	510
758	1600	508
759	1602	505
760	1604	503
761	1606	501
762	1607	499
763	1609	497
764	1611	495
765	1613	493
766	1616	491
767	1618	488
768	1620	486
769	1622	484
770	1624	482
771	1626	480
772	1628	478
773	1629	475
774	1631	473
775	1633	471
776	1635	469
777	1637	467
778	1639	465
779	1641	463
780	1643	460
781	1645	458
782	1647	456
783	1649	454
784	1652	452
785	1653	450
786	1655	448
787	1657	446
788	1659	443
789	1661	441
790	1663	439
791	1665	437
792	1667	435
793	1669	433
794	1671	431
795	1673	428
796	1675	426
797	1677	424
798	1680	422
799	1682	420
800	1684	418
801	1686	416
802	1688	414
803	1690	412
804	1692	410
805	1694	407
806	1696	405
807	1698	403
808	1700	401
809	1702	399
810	1704	397
811	1707	395
812	1709	393
813	1710	390
814	1713	388
815	1714	386
816	1716	384
817	1718	382
818	1720	380
819	1722	378
820	1724	375
821	1726	373
822	1728	371
823	1730	369
824	1732	367
825	1734	365
826	1736	363
827	1738	361
828	1740	358
829	1742	356
830	1743	354
831	1745	352
832	1748	350
833	1750	348
834	1752	346
835	1754	344
836	1756	341
837	1758	339
838	1759	337
839	1761	335
840	1763	333
841	1765	331
842	1767	329
843	1769	327
844	1771	325
845	1773	322
846	1775	320
847	1777	318
848	1779	316
849	1781	314
850	1783	312
851	1785	310
852	1787	308
853	1789	305
854	1791	303
855	1792	301
856	1794	299
857	1796	297
858	1798	295
859	1800	293
860	1802	290
861	1804	288
862	1806	286
863	1808	284
864	1811	282
865	1812	280
866	1814	278
867	1816	276
868	1818	274
869	1820	272
870	1822	269
871	1824	267
872	1826	265
873	1828	263
874	1830	261
875	1832	259
876	1834	257
877	1836	255
878	1838	253
879	1840	250
880	1842	248
881	1844	246
882	1846	244
883	1848	242
884	1850	240
885	1852	238
886	1854	236
887	1856	234
888	1858	232
889	1860	229
890	1862	227
891	1863	225
892	1866	223
893	1868	221
894	1869	219
895	1871	217
896	1873	215
897	1875	213
898	1877	210
899	1879	208
900	1881	206
901	1883	204
902	1885	202
903	1888	200
904	1890	198
905	1892	196
906	1894	194
907	1896	192
908	1898	190
909	1900	188
910	1902	185
911	1904	183
912	1906	181
913	1909	179
914	1911	177
915	1913	175
916	1915	173
917	1917	171
918	1919	169
919	1921	167
920	1923	164
921	1925	162
922	1927	160
923	1929	158
924	1931	156
925	1933	154
926	1935	152
927	1937	150
928	1938	148
929	1940	146
930	1942	144
931	1944	141
932	1946	139
933	1949	137
934	1950	135
935	1952	133
936	1955	131
937	1957	129
938	1959	127
939	1961	125
940	1963	123
941	1965	121
942	1967	118
943	1969	116
944	1971	114
945	1973	112
946	1976	110
947	1977	108
948	1979	106
949	1981	104
950	1983	102
951	1985	100
952	1987	98
953	1989	95
954	1991	93
955	1993	91
956	1995	89
957	1997	87
958	1999	85
959	2001	83
960	2003	81
961	2006	79
962	2008	77
963	2010	75
964	2012	72
965	2014	70
966	2016	68
967	2018	66
968	2020	64
969	2022	62
970	2024	60
971	2026	58
972	2028	56
973	2030	54
974	2032	52
975	2034	50
976	2036	47
977	2038	45
978	2040	43
979	2042	41
980	2044	39
981	2046	37
982	2048	35
983	2050	33
984	2052	31
985	2054	29
986	2056	27
987	2058	25
988	2060	22
989	2062	20
990	2064	18
991	2066	16
992	2068	14
993	2070	12
994	2072	10
995	2074	8
996	2076	6
997	2078	4
998	2080	2
999	2082	0
