iter	RMSE
219	98470.63477
220	98360.18607
221	98324.68061
222	98301.84051
223	98248.66533
224	98190.07273
225	98126.67787
226	98082.47962
227	98046.60741
228	97997.02643
229	97958.45419
230	97929.59007
231	97820.15956
232	97761.54963
233	97657.00087
234	97549.9743
235	97521.42484
236	97493.32979
237	97458.30732
238	97418.78343
239	97371.2908
240	97300.02958
241	97249.79018
242	97031.18114
243	96928.17696
244	96897.89191
245	96851.15171
246	96780.18365
247	96747.68597
248	96661.74659
249	96619.44874
250	96531.67173
251	96469.30058
252	96411.7596
253	96356.46528
254	96328.64276
255	96260.34727
256	96234.25749
257	96173.24986
258	96122.88659
259	96077.52114
260	96043.27353
261	95976.10198
262	95949.51446
263	95867.5941
264	95830.55504
265	95808.38809
266	95787.30932
267	95731.22407
268	95699.78951
269	95677.53504
270	95627.80692
271	95591.53261
272	95565.93772
273	95535.54353
274	95428.25356
275	95408.82924
276	95377.06798
277	95341.88525
278	95290.04207
279	95216.28186
280	95137.8412
281	95016.72927
282	94989.48031
283	94816.12831
284	94792.70969
285	94759.69415
286	94721.64783
287	94703.70637
288	94641.22265
289	94530.99812
290	94463.89545
291	94381.11308
292	94351.6219
293	94249.37005
294	94223.6256
295	94144.19557
296	94076.47138
297	94045.36687
298	94007.70315
299	93933.13979
300	93903.07798
301	93864.91974
302	93820.92605
303	93790.6593
304	93781.09852
305	93760.65931
306	93717.87156
307	93644.27069
308	93571.35579
309	93493.31883
310	93457.03918
311	93423.01093
312	93403.49428
313	93378.4539
314	93356.48353
315	93217.79041
316	93192.59934
317	93155.6713
318	93133.29589
319	93078.97867
320	93059.90414
321	93035.18459
322	92972.35053
323	92942.59241
324	92842.56698
325	92824.84791
326	92757.4612
327	92734.66166
328	92643.99347
329	92521.99188
330	92501.381
331	92453.40014
332	92381.48629
333	92320.89949
334	92227.79456
335	92203.15776
336	92187.58336
337	92139.8322
338	92075.81639
339	91991.18043
340	91973.36569
341	91952.51848
342	91914.76004
343	91802.18629
344	91786.92444
345	91690.48779
346	91649.21127
347	91620.14293
348	91569.98871
349	91455.61824
350	91401.93343
351	91365.40703
352	91321.54506
353	91288.61589
354	91245.11921
355	91186.81195
356	91169.45839
357	91133.06767
358	91115.30203
359	91100.05685
360	91050.90583
361	91026.5196
362	90975.96028
363	90932.1414
364	90879.73609
365	90811.87067
366	90769.77917
367	90729.03607
368	90655.68204
369	90629.45328
370	90563.50225
371	90539.46655
372	90468.48747
373	90449.30465
374	90415.10804
375	90367.65718
376	90301.12686
377	90240.04496
378	90212.66897
379	90170.91767
380	90122.15105
381	90066.13295
382	90054.24887
383	89998.3549
384	89956.49579
385	89894.25274
386	89805.59757
387	89760.6906
388	89713.31371
389	89693.38224
390	89654.86657
391	89610.30626
392	89524.56574
393	89508.45494
394	89450.37534
395	89433.75725
396	89395.74376
397	89356.79388
398	89337.67713
399	89301.18416
400	89241.36192
401	89195.14253
402	89172.23346
403	89084.11727
404	89034.69067
405	89002.24082
406	88954.77113
407	88883.72542
408	88868.86982
409	88811.70478
410	88788.06387
411	88743.95769
412	88705.17466
413	88686.45451
414	88631.99674
415	88592.25904
416	88572.26341
417	88547.65665
418	88505.16095
419	88476.06719
420	88449.47483
421	88363.18873
422	88325.58443
423	88303.6659
424	88243.46731
425	88195.78692
426	88146.9624
427	88141.29705
428	88126.09832
429	88090.72039
430	88071.10081
431	88042.23429
432	88021.28029
433	87983.97122
434	87935.31369
435	87879.53722
436	87864.64782
437	87818.34148
438	87779.40912
439	87762.88333
440	87741.35506
441	87712.02364
442	87629.32754
443	87562.37712
444	87506.04358
445	87494.34583
446	87475.42189
447	87451.90455
448	87416.22286
449	87391.68838
450	87345.58131
451	87329.68168
452	87307.92829
453	87239.31858
454	87193.22159
455	87179.66779
456	87175.00991
457	87133.52676
458	87116.41192
459	87100.85575
460	87088.51434
461	87037.75334
462	87013.8898
463	87002.77728
464	86971.80776
465	86925.5763
466	86903.98431
467	86893.47019
468	86847.84684
469	86811.03135
470	86799.58816
471	86786.74532
472	86752.17211
473	86711.87799
474	86668.62032
475	86659.6374
476	86620.38367
477	86576.6751
478	86536.06478
479	86498.53218
480	86463.94393
481	86438.65699
482	86405.3646
483	86382.00113
484	86354.34643
485	86323.14405
486	86294.43576
487	86267.28031
488	86240.78429
489	86211.89843
490	86194.13928
491	86158.87144
492	86132.94392
493	86099.90179
494	86074.72127
495	86040.83034
496	86015.1571
497	85979.57487
498	85948.77029
499	85911.50456
500	85887.41682
501	85866.97221
502	85835.19203
503	85812.02053
504	85777.88
505	85742.20579
506	85732.57716
507	85697.82099
508	85687.88045
509	85668.13408
510	85635.61293
511	85565.8524
512	85545.76606
513	85514.50399
514	85479.01015
515	85448.22995
516	85439.25044
517	85406.08998
518	85398.37231
519	85376.60464
520	85347.11986
521	85327.83133
522	85299.83105
523	85268.13223
524	85241.72195
525	85192.41888
526	85160.08031
527	85145.14276
528	85110.40437
529	85103.33459
530	85096.56849
531	85078.57798
532	85041.27435
533	85011.62663
534	84993.76377
535	84987.24473
536	84945.25029
537	84926.80319
538	84910.15918
539	84896.48709
540	84880.12823
541	84871.06365
542	84841.95892
543	84820.8127
544	84770.23393
545	84746.17192
546	84732.82802
547	84710.45224
548	84685.15388
549	84666.17369
550	84645.58046
551	84632.87212
552	84607.30414
553	84586.27689
554	84569.85104
555	84550.67921
556	84522.98116
557	84506.77546
558	84490.49026
559	84466.49399
560	84455.01267
561	84427.47272
562	84388.37838
563	84368.57
564	84359.81322
565	84329.53657
566	84307.05522
567	84298.29062
568	84276.87427
569	84246.1331
570	84235.44669
571	84221.80381
572	84201.24033
573	84168.3784
574	84155.94754
575	84112.01288
576	84097.01951
577	84084.66252
578	84048.80199
579	84029.40877
580	84012.00414
581	83990.879
582	83967.31332
583	83925.8652
584	83894.11579
585	83860.53307
586	83846.98056
587	83819.24164
588	83800.08652
589	83788.92881
590	83766.42926
591	83740.8529
592	83718.44627
593	83699.47796
594	83678.71413
595	83671.06999
596	83651.03322
597	83637.41362
598	83631.84842
599	83626.5151
600	83596.11259
601	83586.8306
602	83566.80007
603	83559.76308
604	83536.87516
605	83495.18236
606	83479.27191
607	83442.73088
608	83418.169
609	83388.40269
610	83348.59643
611	83336.71129
612	83313.80085
613	83273.67233
614	83240.03761
615	83217.06011
616	83189.33517
617	83184.24213
618	83169.06629
619	83143.97232
620	83118.68395
621	83106.53969
622	83097.84184
623	83069.0537
624	83050.61336
625	83036.41722
626	83018.07382
627	83009.20064
628	82987.98361
629	82969.90267
630	82946.64799
631	82932.37944
632	82913.16777
633	82892.68661
634	82877.18866
635	82847.76541
636	82830.04377
637	82801.40735
638	82774.12253
639	82746.88594
640	82714.77504
641	82686.09954
642	82680.54838
643	82654.41852
644	82644.18036
645	82639.23325
646	82606.03301
647	82589.44498
648	82583.65057
649	82567.86481
650	82553.9724
651	82535.87262
652	82514.68406
653	82497.28268
654	82491.61592
655	82476.62957
656	82468.61834
657	82456.35782
658	82436.51463
659	82413.05946
660	82392.09592
661	82374.50824
662	82357.91428
663	82344.71703
664	82330.79915
665	82288.16045
666	82268.36169
667	82219.96355
668	82184.34146
669	82172.96458
670	82152.54609
671	82136.13112
672	82113.65743
673	82066.31288
674	82056.3681
675	82044.48841
676	82031.35624
677	81990.99553
678	81954.20436
679	81928.84486
680	81893.82212
681	81875.85873
682	81842.74175
683	81834.47686
684	81822.27456
685	81792.02334
686	81779.76085
687	81761.97023
688	81750.39572
689	81737.25431
690	81721.29679
691	81709.05779
692	81700.29859
693	81689.71618
694	81666.06598
695	81654.26812
696	81649.72318
697	81626.6464
698	81590.52355
699	81579.15491
700	81548.30236
701	81536.08685
702	81507.87733
703	81472.61145
704	81438.89227
705	81434.58385
706	81414.00528
707	81401.53329
708	81389.74587
709	81374.08428
710	81354.74569
711	81335.85967
712	81318.86076
713	81277.43705
714	81268.49251
715	81252.89025
716	81242.72057
717	81234.12564
718	81210.53643
719	81200.14613
720	81194.14382
721	81177.89665
722	81165.4659
723	81159.9696
724	81137.1613
725	81109.55288
726	81100.83041
727	81070.53075
728	81059.54598
729	81033.06504
730	81017.76934
731	81000.74248
732	80992.04409
733	80973.44273
734	80948.66064
735	80910.88618
736	80903.2667
737	80891.43315
738	80874.64248
739	80864.20442
740	80848.46855
741	80837.95805
742	80819.79435
743	80809.29968
744	80793.68809
745	80774.02238
746	80769.10168
747	80750.88388
748	80733.40958
749	80687.86802
750	80658.75596
751	80650.85016
752	80624.63038
753	80616.66656
754	80606.60305
755	80596.16364
756	80577.19093
757	80543.73199
758	80529.02548
759	80517.0191
760	80493.89563
761	80486.79841
762	80471.96209
763	80460.79377
764	80445.2913
765	80437.37462
766	80428.60325
767	80422.03183
768	80384.48254
769	80373.32276
770	80358.36687
771	80343.16619
772	80320.85773
773	80279.73237
774	80272.21734
775	80261.04308
776	80249.21421
777	80235.63313
778	80221.31915
779	80197.59456
780	80190.94519
781	80183.03347
782	80166.51875
783	80150.47405
784	80142.00878
785	80117.68213
786	80096.89111
787	80064.97206
788	80046.13463
789	80031.8288
790	80027.86445
791	80010.33287
792	79973.2782
793	79957.09347
794	79937.43668
795	79931.39965
796	79911.77606
797	79893.66428
798	79873.88052
799	79865.81699
800	79853.98112
801	79850.07793
802	79835.52398
803	79817.49313
804	79795.19083
805	79771.53046
806	79744.81194
807	79724.72259
808	79710.52701
809	79691.22757
810	79685.40589
811	79680.92612
812	79669.8395
813	79651.48555
814	79634.62474
815	79622.02227
816	79609.14764
817	79594.2576
818	79569.02392
819	79562.94953
820	79559.3566
821	79542.36993
822	79538.92096
823	79529.16839
824	79518.91246
825	79506.35874
826	79499.65284
827	79495.63234
828	79483.4351
829	79462.96416
830	79440.89396
831	79436.78657
832	79435.38529
833	79422.93515
834	79415.68486
835	79405.22418
836	79389.3118
837	79370.14344
838	79362.46973
839	79356.4345
840	79355.03096
841	79334.43138
842	79318.55269
843	79307.78924
844	79290.76852
845	79274.33672
846	79262.16449
847	79252.00323
848	79232.27245
849	79194.8513
850	79177.25298
851	79161.12523
852	79148.50583
853	79142.45033
854	79121.66178
855	79121.60787
856	79099.14997
857	79085.59131
858	79052.962
859	79031.15662
860	79027.61629
861	79006.8728
862	78972.80683
863	78963.95362
864	78959.41552
865	78925.27809
866	78914.97255
867	78891.71768
868	78867.89028
869	78850.56081
870	78835.97015
871	78829.0553
872	78817.85519
873	78802.79682
874	78785.18601
875	78772.23205
876	78762.13
877	78745.59886
878	78736.89971
879	78734.38105
880	78725.71163
881	78717.75074
882	78694.8683
883	78687.097
884	78673.45666
885	78671.53669
886	78660.14013
887	78656.58805
888	78646.38558
889	78631.44815
890	78620.16031
891	78618.36653
892	78615.19594
893	78602.20415
894	78581.28737
895	78569.20015
896	78538.16777
897	78523.51296
898	78495.50568
899	78475.76174
900	78464.33397
901	78448.08651
902	78426.16587
903	78408.85029
904	78382.81996
905	78369.56737
906	78355.18804
907	78346.57916
908	78335.81345
909	78316.42112
910	78309.82024
911	78293.14641
912	78284.60232
913	78267.69734
914	78247.32583
915	78237.10034
916	78221.96012
917	78207.56153
918	78200.76302
919	78193.66648
920	78184.29416
921	78175.08829
922	78172.45285
923	78158.5111
924	78128.34765
925	78118.76328
926	78111.54869
927	78092.23046
928	78081.20292
929	78070.04047
930	78056.67062
931	78029.01492
932	78016.49193
933	78007.39342
934	77995.23071
935	77983.98701
936	77969.69745
937	77960.60799
938	77952.4274
939	77939.95244
940	77926.70856
941	77919.6334
942	77913.42735
943	77909.88587
944	77883.21837
945	77867.84282
946	77846.50977
947	77840.28361
948	77828.64118
949	77811.40086
950	77795.45788
951	77772.92752
952	77764.1049
953	77757.40491
954	77743.1597
955	77721.17429
956	77713.51141
957	77676.78396
958	77657.86561
959	77628.34095
960	77620.78369
961	77607.83075
962	77602.90599
963	77584.52832
964	77570.60613
965	77539.7651
966	77524.78461
967	77511.80463
968	77491.73508
969	77479.47532
970	77462.76768
971	77459.67934
972	77447.80879
973	77435.19116
974	77427.57584
975	77405.73204
976	77393.96429
977	77383.45458
978	77372.56535
979	77359.57227
980	77341.96043
981	77333.59791
982	77325.64375
983	77316.05694
984	77304.23179
985	77292.29438
986	77280.64066
987	77273.19336
988	77262.99521
989	77254.31372
990	77241.39431
991	77230.07039
992	77219.22364
993	77211.06245
994	77198.15504
995	77181.47556
996	77173.42936
997	77163.6686
998	77157.64391
999	77146.4977
