km_driven,mileage,engine,max_power,seats,name_target_enc,fuel_Diesel,fuel_Petrol,seller_type_Individual,transmission_Manual
90000.0,18.06,1198.0,75.0,5.0,267500.0,0,1,1,1
7032.0,19.0,1199.0,88.76,5.0,775400.0,0,1,0,0
120000.0,12.05,2179.0,120.0,9.0,483928.5,1,0,1,1
3000.0,19.33,1248.0,82.0,5.0,1600000.0,1,0,1,1
70000.0,19.7,796.0,46.3,5.0,139112.5945945946,0,1,1,1
3493.0,19.33,1248.0,82.0,5.0,4.925,0,1,0,1
55000.0,24.4,1120.0,71.0,5.0,390100.0,1,0,0,1
84000.0,19.33,1248.0,82.0,5.0,685000.0,1,0,0,1
135000.0,25.1,1498.0,98.6,5.0,667058.7647058824,1,0,1,1
80000.0,16.02,1373.0,93.7,7.0,579190.4761904762,0,1,1,1
25000.0,18.5,1197.0,85.8,5.0,315000.0,0,1,1,1
90000.0,19.33,1248.0,82.0,5.0,183666.64444444445,0,1,1,1
120000.0,17.92,1086.0,62.1,5.0,201666.6,0,1,1,1
70000.0,19.33,1248.0,82.0,5.0,321955.14925373136,0,1,1,1
120000.0,19.33,1248.0,82.0,5.0,60000.0,0,1,1,1
90000.0,14.53,1794.0,138.1,5.0,757142.8571428572,0,1,1,0
5500.0,26.8,1597.0,118.0,5.0,2125000.0,1,0,0,1
90000.0,19.33,1248.0,82.0,5.0,174640.0,0,1,1,1
56290.0,24.0,1186.0,73.97,5.0,470483.87096774194,1,0,0,1
65000.0,19.33,1248.0,82.0,5.0,416216.843373494,1,0,0,1
40000.0,16.0,2179.0,138.0,7.0,1410000.0,1,0,1,1
11000.0,14.3,1598.0,103.5,5.0,628870.9677419355,0,1,0,0
70000.0,25.2,1248.0,74.0,5.0,425000.0,1,0,1,1
53000.0,19.33,1248.0,82.0,5.0,428000.0,0,1,1,1
150000.0,11.57,2179.0,138.1,7.0,304999.85185185185,1,0,1,1
100000.0,19.33,1248.0,82.0,5.0,139112.5945945946,0,1,1,1
9000.0,13.6,1999.0,177.0,5.0,2675166.6666666665,1,0,0,0
80000.0,19.33,1248.0,82.0,5.0,140265.2857142857,0,1,1,1
40000.0,18.2,1199.0,88.7,5.0,770000.0,0,1,1,0
40000.0,22.74,796.0,47.3,5.0,263918.8108108108,0,1,1,1
190000.0,19.33,1248.0,82.0,5.0,308102.5128205128,1,0,1,1
80000.0,13.01,2199.0,194.3,7.0,950000.0,1,0,1,0
90000.0,19.33,1248.0,82.0,5.0,166250.0,1,0,1,1
80000.0,23.4,1248.0,74.0,5.0,595290.1935483871,1,0,1,1
90000.0,19.33,1248.0,82.0,5.0,553315.6842105263,1,0,1,1
35000.0,27.39,1248.0,74.0,5.0,731666.6666666666,1,0,1,1
100000.0,25.2,1248.0,73.94,5.0,507500.0,1,0,1,1
25000.0,15.41,1598.0,103.2,5.0,725000.0,0,1,1,1
50000.0,14.28,1798.0,138.03,5.0,1100000.0,0,1,1,1
61203.0,19.33,1248.0,82.0,5.0,5.8,0,1,0,1
60000.0,21.43,1364.0,87.2,5.0,842500.0,1,0,1,1
20000.0,24.7,796.0,47.3,5.0,247941.93129770996,0,1,1,1
50000.0,12.12,2231.0,184.0,7.0,700000.0,1,0,1,0
90000.0,22.07,1199.0,73.9,5.0,270000.0,1,0,1,1
65000.0,19.33,1248.0,82.0,5.0,339999.8,1,0,0,1
30000.0,19.33,1248.0,82.0,5.0,263918.8108108108,0,1,1,1
60000.0,19.2,1086.0,68.05,5.0,375000.0,0,0,1,1
65500.0,19.33,1248.0,82.0,5.0,1150000.0,1,0,0,0
107500.0,19.33,1248.0,82.0,5.0,183947.31578947368,1,0,0,1
68000.0,19.33,1248.0,82.0,5.0,193333.3333333333,0,0,1,1
58500.0,19.33,1248.0,82.0,5.0,1374285.7142857143,1,0,0,0
5621.0,22.0,1197.0,81.8,5.0,650000.0,0,1,0,0
120000.0,19.33,1248.0,82.0,5.0,483928.5,1,0,1,1
27600.0,19.33,1248.0,82.0,5.0,7.516,0,1,0,1
80000.0,15.8,2148.0,170.0,5.0,1350000.0,1,0,1,0
30000.0,21.4,1197.0,83.1,5.0,566105.2631578947,0,1,1,1
58850.0,19.33,1248.0,82.0,5.0,68125.0,0,1,0,1
120000.0,19.33,1248.0,82.0,5.0,81538.46153846153,0,1,1,1
31367.0,19.33,1248.0,82.0,5.0,470000.0,1,0,0,1
120000.0,22.54,1396.0,88.73,5.0,782000.0,1,0,1,1
13887.0,17.0,1591.0,121.3,5.0,909333.3333333334,0,1,1,1
55850.0,19.33,1248.0,82.0,5.0,529285.7142857143,1,0,0,1
60000.0,19.33,1248.0,82.0,5.0,98833.33333333331,0,1,1,1
50000.0,19.33,1248.0,82.0,5.0,525833.3333333334,0,1,1,1
45000.0,19.33,1999.0,177.0,5.0,3200000.0,1,0,0,0
376412.0,12.8,2494.0,102.0,8.0,526153.8461538461,1,0,1,1
28182.0,14.3,1598.0,103.52,5.0,675000.0,0,1,0,0
58000.0,19.33,1248.0,82.0,5.0,83800.0,0,1,0,1
120000.0,18.5,1197.0,82.85,5.0,440318.0909090909,0,1,1,1
110000.0,19.33,1248.0,82.0,5.0,400000.0,1,0,1,1
75000.0,25.8,1498.0,98.6,5.0,522249.85,1,0,1,1
